,name,department,university,avg_rating,num_reviews,take_again_pct,difficulty,rmp_profile_url,rmp_professor_id,error
0,JaneForner,Music,University of Toronto,5.0,4,100,2.5,https://www.ratemyprofessors.com/professor/3042902,3042902,
1,AliFeizmohammadi,Mathematics,University of Toronto,4.2,19,79,3.5,https://www.ratemyprofessors.com/professor/2227812,2227812,
2,MitchellMcIvor,Sociology,University of Toronto,5.0,16,100,1.9,https://www.ratemyprofessors.com/professor/2780331,2780331,
3,SimonaVucu,Philosophy,University of Toronto,3.6,7,58,3.6,https://www.ratemyprofessors.com/professor/2896892,2896892,
4,ClaudiaPaparella,Art History,University of Toronto,5.0,5,100,2.6,https://www.ratemyprofessors.com/professor/3079021,3079021,
5,nadiaTakhtaganova,Languages,University of Toronto,4.0,2,100,3.5,https://www.ratemyprofessors.com/professor/3102524,3102524,
6,AshleyWaggoner Denton,Psychology,University of Toronto,2.0,1,0,4.0,https://www.ratemyprofessors.com/professor/3109721,3109721,
7,GözdeMercan,Languages,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/3109727,3109727,
8,Isabela Dos Santos,Political Science,University of Toronto,3.1,36,48,3.1,https://www.ratemyprofessors.com/professor/3032708,3032708,
9,EvelynLove Fosu-Duah,Environment,University of Toronto,3.5,10,60,2.4,https://www.ratemyprofessors.com/professor/3106998,3106998,
10,Joanna Pepin,Sociology,University of Toronto,2.1,8,13,3.5,https://www.ratemyprofessors.com/professor/2990412,2990412,
11,Barbara Ferguson,Women's Studies,University of Toronto,4.0,5,80,3.4,https://www.ratemyprofessors.com/professor/2917555,2917555,
12,Sebastien Sacre,Languages,University of Toronto,5.0,4,100,2.5,https://www.ratemyprofessors.com/professor/3069933,3069933,
13,Falak Mujtaba,Social Science,University of Toronto,4.2,44,89,3.3,https://www.ratemyprofessors.com/professor/3023610,3023610,
14,Melanie Mascarenhas,Psychology,University of Toronto,4.8,10,100,2.8,https://www.ratemyprofessors.com/professor/3048330,3048330,
15,Yukiko Tanaka,Sociology,University of Toronto,4.4,31,81,2.2,https://www.ratemyprofessors.com/professor/2605330,2605330,
16,Dani Nedal,Political Science,University of Toronto,2.7,6,17,3.7,https://www.ratemyprofessors.com/professor/2848338,2848338,
17,Salvador Alanis,Languages,University of Toronto,4.3,4,75,1.5,https://www.ratemyprofessors.com/professor/3041628,3041628,
18,Irene Poetranto,Political Science,University of Toronto,3.3,4,75,2.8,https://www.ratemyprofessors.com/professor/3073470,3073470,
19,Jim Hansen,English,University of Toronto,4.0,2,100,2.0,https://www.ratemyprofessors.com/professor/3108618,3108618,
20,Grace Barakat,Sociology,University of Toronto,4.9,12,100,2.7,https://www.ratemyprofessors.com/professor/2877514,2877514,
21,Dennis Lee,Music,University of Toronto,5.0,4,100,2.5,https://www.ratemyprofessors.com/professor/2982223,2982223,
22,Hannah Gans,Psychology,University of Toronto,3.1,29,56,3.3,https://www.ratemyprofessors.com/professor/3030924,3030924,
23,Simeon  Newman,History,University of Toronto,1.4,23,14,3.7,https://www.ratemyprofessors.com/professor/3080368,3080368,
24,Malvina Skorska,Psychology,University of Toronto,3.0,11,55,3.8,https://www.ratemyprofessors.com/professor/2999273,2999273,
25,Erica Kim,Architecture,University of Toronto,2.5,4,25,2.5,https://www.ratemyprofessors.com/professor/2980065,2980065,
26,David Lindell,Computer Science,University of Toronto,4.5,2,100,4.0,https://www.ratemyprofessors.com/professor/2978802,2978802,
27,Mark Hathaway,Environment,University of Toronto,4.4,31,80,2.7,https://www.ratemyprofessors.com/professor/1799390,1799390,
28,Luke Volk,Mathematics,University of Toronto,1.0,5,0,5.0,https://www.ratemyprofessors.com/professor/2920072,2920072,
29,Robert Soden,Computer Science,University of Toronto,5.0,2,100,2.0,https://www.ratemyprofessors.com/professor/2894380,2894380,
30,Matthew Robbins,Physics,University of Toronto,3.2,51,53,3.3,https://www.ratemyprofessors.com/professor/3032174,3032174,
31,Hosam Helal,History,University of Toronto,4.4,7,86,3.0,https://www.ratemyprofessors.com/professor/3084936,3084936,
32,Wiley Sharp,Geography,University of Toronto,1.0,1,0,4.0,https://www.ratemyprofessors.com/professor/3109070,3109070,
33,Victor Falkenheim,Political Science,University of Toronto,5.0,22,100,2.6,https://www.ratemyprofessors.com/professor/2645850,2645850,
34,Moaz Shoura,Psychology,University of Toronto,5.0,7,100,2.9,https://www.ratemyprofessors.com/professor/3022358,3022358,
35,Constance de Font-Reaulx,History,University of Toronto,3.0,7,72,3.4,https://www.ratemyprofessors.com/professor/3054669,3054669,
36,Samantha Wesner,History,University of Toronto,5.0,2,100,2.0,https://www.ratemyprofessors.com/professor/3054667,3054667,
37,Shibi Kumaraperumal,History,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/3108826,3108826,
38,Catherine Jimenea,Geography,University of Toronto,3.0,6,34,3.3,https://www.ratemyprofessors.com/professor/2712746,2712746,
39,Mahmoud  Embabi,Engineering,University of Toronto,5.0,4,100,3.5,https://www.ratemyprofessors.com/professor/3078693,3078693,
40,Christopher (Chris) Greenaway,Political Science,University of Toronto,4.8,19,95,2.7,https://www.ratemyprofessors.com/professor/2703740,2703740,
41,John Rogers,English,University of Toronto,4.6,9,89,2.6,https://www.ratemyprofessors.com/professor/2733362,2733362,
42,Douglas Eacho,Theater,University of Toronto,1.5,2,0,2.0,https://www.ratemyprofessors.com/professor/3044410,3044410,
43,E Legge,Art History,University of Toronto,5.0,2,100,2.0,https://www.ratemyprofessors.com/professor/879340,879340,
44,Sean Karnani-Stewart,Classics,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/3108624,3108624,
45,Katerina Apokatanidis,Classics,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/3108625,3108625,
46,Michael Johnstone,English,University of Toronto,2.0,1,0,3.0,https://www.ratemyprofessors.com/professor/3108621,3108621,
47,Adam Nayman,Humanities,University of Toronto,4.5,12,92,2.7,https://www.ratemyprofessors.com/professor/2696905,2696905,
48,Tahir Sharaan,Physics,University of Toronto,3.0,2,50,3.0,https://www.ratemyprofessors.com/professor/3105303,3105303,
49,Rory Lindsay,Religion,University of Toronto,5.0,9,100,1.1,https://www.ratemyprofessors.com/professor/3007836,3007836,
50,Sophie Rousseaux,Chemistry,University of Toronto,4.9,14,100,2.9,https://www.ratemyprofessors.com/professor/2217145,2217145,
51,Theresa Enright,Political Science,University of Toronto,2.8,21,59,3.6,https://www.ratemyprofessors.com/professor/1890162,1890162,
52,Denis Gorodkov,Mathematics,University of Toronto,4.4,31,88,2.8,https://www.ratemyprofessors.com/professor/2875615,2875615,
53,Patricia Mockler,Political Science,University of Toronto,4.0,5,80,2.2,https://www.ratemyprofessors.com/professor/3092481,3092481,
54,Aya Sakaya,Chemistry,University of Toronto,4.9,14,100,2.1,https://www.ratemyprofessors.com/professor/3033917,3033917,
55,Asif Zaman,Mathematics,University of Toronto,4.5,58,87,3.4,https://www.ratemyprofessors.com/professor/2233154,2233154,
56,Josh Harold,Sociology,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/3107385,3107385,
57,Barbara Simões,English,University of Toronto,4.5,8,88,3.1,https://www.ratemyprofessors.com/professor/2960479,2960479,
58,Ramiro Armas,Languages,University of Toronto,3.0,6,34,3.5,https://www.ratemyprofessors.com/professor/1835082,1835082,
59,Piotr Zwiernik,Mathematics,University of Toronto,3.7,3,67,3.3,https://www.ratemyprofessors.com/professor/2933010,2933010,
60,Ania Harlick,Physics,University of Toronto,4.2,29,87,2.7,https://www.ratemyprofessors.com/professor/2890981,2890981,
61,Kuan Xu,Economics,University of Toronto,2.9,16,38,4.1,https://www.ratemyprofessors.com/professor/2938874,2938874,
62,Kathleen Dobson,Economics,University of Toronto,4.5,2,100,2.0,https://www.ratemyprofessors.com/professor/3101729,3101729,
63,Frances O'Shaughnessy,Women's Studies,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/3107028,3107028,
64,Paul He,Computer Science,University of Toronto,4.9,10,100,2.4,https://www.ratemyprofessors.com/professor/3036776,3036776,
65,rosalind hampton,Education,University of Toronto,2.0,3,34,3.0,https://www.ratemyprofessors.com/professor/3106677,3106677,
66,Alex Bercik,Engineering,University of Toronto,2.6,9,38,2.6,https://www.ratemyprofessors.com/professor/2984300,2984300,
67,Armend Mazreku,Political Science,University of Toronto,3.4,8,63,2.8,https://www.ratemyprofessors.com/professor/2847868,2847868,
68,Mathilde Gerbelli-Gauthier,Mathematics,University of Toronto,4.7,18,95,3.3,https://www.ratemyprofessors.com/professor/3051466,3051466,
69,Mehdi Ataei,Computer Science,University of Toronto,4.5,8,88,2.8,https://www.ratemyprofessors.com/professor/2929991,2929991,
70,Jim Scholey,Medicine,University of Toronto,4.7,3,100,3.3,https://www.ratemyprofessors.com/professor/3017432,3017432,
71,Kale  Coghlan,Classics,University of Toronto,2.0,2,0,3.5,https://www.ratemyprofessors.com/professor/3066081,3066081,
72,Mehul Gupta,Mathematics,University of Toronto,5.0,7,100,2.4,https://www.ratemyprofessors.com/professor/3075388,3075388,
73,Kripa Freitas,Economics,University of Toronto,2.9,135,45,4.1,https://www.ratemyprofessors.com/professor/1877093,1877093,
74,Marsha Chechik,Computer Science,University of Toronto,2.2,6,34,4.2,https://www.ratemyprofessors.com/professor/3009699,3009699,
