course_code,prof_id,summary,metadata
AER1503,2344326.0,"Professor ID: 2344326. Professor: ""Tireless lecturer and provides his own comprehensive, concise set of notes for the course"" Course weighted evenly between assignments, project and tests. Fascinating subject matter.","Summarize the following student feedback in a formal, third-person tone.
Course: AER1503
Professor ID: 2344326
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 3
Grade Mode: Unknown"
AER210,2984300.0,"A nice guy, a bit inexperienced but definitely knows his stuff. Problem sets were way too long, and classes often went on tangents. He is always approachable after class if you have any questions or are curious about the field.","Summarize the following student feedback in a formal, third-person tone.
Course: AER210
Professor ID: 2984300
Avg Quality: 2.75
Avg Difficulty: 2.75
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
AER510,3037025.0,The professor holds easy tests so students give him good reviews. He acts unprofessionally and abuses his power over lab students to force them to do what he wants. Extremely biased toward students from his home country.,"Summarize the following student feedback in a formal, third-person tone.
Course: AER510
Professor ID: 3037025
Avg Quality: 3.5
Avg Difficulty: 3.5
Thumbs Up: 3
Thumbs Down: 5
Grade Mode: A+"
AFR270,2929113.0,Student feedback on the AFR270 course at the University of Oxford. The course is designed to help students understand and understand the subject matter. The teacher has been described as 'passive-aggressive',"Summarize the following student feedback in a formal, third-person tone.
Course: AFR270
Professor ID: 2929113
Avg Quality: 2.2
Avg Difficulty: 3.0
Thumbs Up: 5
Thumbs Down: 0
Grade Mode: Unknown"
AFR322,2929113.0,"Student feedback on the course. Summarize the following student feedback in a formal, third-person tone. The course had many issues IMO. She just gives me an ‘off', ‘mean girl' vibe. Do not recommend.","Summarize the following student feedback in a formal, third-person tone.
Course: AFR322
Professor ID: 2929113
Avg Quality: 2.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: B+"
AFR450,2880107.0,"Student feedback is written in a formal, third-person tone. Be prepared to read. Summarize the following student feedback in a third-party tone. There are evenings I wonder whether the director of African Studies has yet learned the difference between an abstract and an outline...","Summarize the following student feedback in a formal, third-person tone.
Course: AFR450
Professor ID: 2880107
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 1
Thumbs Down: 0
Grade Mode: A"
AHSS1130,2348070.0,"The best professor ever, very sweet, prepares you well more test and gives a-lot of review :) changed my life. I really enjoy her lectures and her teaching style. You guys will love her.","Summarize the following student feedback in a formal, third-person tone.
Course: AHSS1130
Professor ID: 2348070
Avg Quality: 5.0
Avg Difficulty: 1.5
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
AMPM250,3053410.0,"This professor only knows how to drink. Summarize the following student feedback in a formal, third-person tone. Course: AMPM250. Professor ID: 3053410. Average Quality: 1.0. Average Difficulty: 3.0","Summarize the following student feedback in a formal, third-person tone.
Course: AMPM250
Professor ID: 3053410
Avg Quality: 1.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: D+"
AMS200,3051118.0,"Professor Montange's class was one of my favourites. She truly is passionate about what she teaches, + is very interactive with her students. I wasn't sure what to expect from the course but my expectations were exceeded! 10/10 recommend :)","Summarize the following student feedback in a formal, third-person tone.
Course: AMS200
Professor ID: 3051118
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Not sure yet"
ANA300,2564118.0,"The course is so content heavy that you need to study a month in advance. The prof is a non-factor, no one can make this course ""easy"" or ""bearable"" The term test for the first half of his section was fair.","Summarize the following student feedback in a formal, third-person tone.
Course: ANA300
Professor ID: 2564118
Avg Quality: 1.83
Avg Difficulty: 4.83
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
ANA301,2354054.0,"Dr. Bentley is a knowledgeable and engaging lecturer whose passion for the subject shines through in her teaching. Tests are hard, topic quizzes are easy, and the assignments were cool. She doesn't care what grades students are getting and has no logic in giving marks.","Summarize the following student feedback in a formal, third-person tone.
Course: ANA301
Professor ID: 2354054
Avg Quality: 4.33
Avg Difficulty: 4.53
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANA400,2354054.0,"Ana400 was the best course of my undergraduate degree. Dr. Bentley was the most amazing professor. I don't think she is teaching the course next year, but hopefully I get in to UofT meds next year so I can take anatomy with her again.","Summarize the following student feedback in a formal, third-person tone.
Course: ANA400
Professor ID: 2354054
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
ANAT110,2354054.0,"Prof. Bentley started teaching medical gross anatomy this year. Easily the best professor throughout the program. Clear reviews that highlight important take aways, enthusiastic explanations in the labs, and she talks to you like she cares about you.","Summarize the following student feedback in a formal, third-person tone.
Course: ANAT110
Professor ID: 2354054
Avg Quality: 5.0
Avg Difficulty: 5.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANAT110,2761930.0,The course itself is very content-heavy and difficult. Noor herself Is extremely knowledgeable and you can tell how much she knows and loves the human body. She created various platforms to ask questions on which made it easy to clarify concepts.,"Summarize the following student feedback in a formal, third-person tone.
Course: ANAT110
Professor ID: 2761930
Avg Quality: 5.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
ANT100,2820811.0,"The course included weekly ""challenges"" that were vague and unrelated to the course material. Lecture focus on political issues (sexism, homopobia, etc.) from a modern perspective. Kind/helpful/understanding/generous about stress and marking.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT100
Professor ID: 2820811
Avg Quality: 2.0
Avg Difficulty: 2.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANT100,2847867.0,"Lectures tend to run over time (cause he spends time answering questions) but he tries to stay on track. Interesting class, good lectures but speaks kind of slow for my preference.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT100
Professor ID: 2847867
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
ANT203,2303122.0,Professor Viola is very clearly passionate about what he teaches. He is very approachable and kind. The course is content heavy so I would not recommend it if you don't have a genuine interest in this area of anthro.,"Summarize the following student feedback in a formal, third-person tone.
Course: ANT203
Professor ID: 2303122
Avg Quality: 4.29
Avg Difficulty: 3.14
Thumbs Up: 17
Thumbs Down: 8
Grade Mode: A-"
ANT203,2951589.0,"Professor Cameron is an absolutely amazing professor. The information is concise, relevant and she delivers it in a very entertaining way. If only other profs were as delightful as Dr.Cameron, academia would be a much better place.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT203
Professor ID: 2951589
Avg Quality: 5.0
Avg Difficulty: 1.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANT204,2847867.0,"Lectures and readings could be a little dense, but he is always willing to answer questions in the chat. If you take notes in the lecture, and at least skim through readings, acing the class is fairly manageable. Kind professor, interesting lectures and readings.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT204
Professor ID: 2847867
Avg Quality: 3.5
Avg Difficulty: 2.67
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Not sure yet"
ANT207,2244723.0,"The way she lectures really annoys me - it sounds pretentious and it's not always relevant to course content. Other than that she's good. I was lazy and slept through a lot of lectures, which I'm pretty sure she noticed but didn't say anything about. Readings were par.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT207
Professor ID: 2244723
Avg Quality: 3.0
Avg Difficulty: 2.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: C+"
ANT207,2847871.0,Professor Chadha is an amazing lecturer! Her lectures were engaging and fun but also informative and thought-provoking. The prompts for the essays were interesting and I actually enjoyed writing these. Would definitely take again!,"Summarize the following student feedback in a formal, third-person tone.
Course: ANT207
Professor ID: 2847871
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
ANT207,2915177.0,"Professor Maya is one of the greatest Anthro profs you can take at UofT. For ANT207, the structure of the lecture was half lecturing and the other half was group discussions. Overall, they were a 10/10.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT207
Professor ID: 2915177
Avg Quality: 5.0
Avg Difficulty: 1.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
ANT253,2901555.0,The ANT253 course was taught by a professor who clearly explained main concepts. The professor used a textbook that was recommended to buy through the bookstore. Lectures had a lot of material and the TAs were really helpful.,"Summarize the following student feedback in a formal, third-person tone.
Course: ANT253
Professor ID: 2901555
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
ANT329,2901555.0,"Professor Yeung is kind and helpful, explains course concepts very clearly and accurately, and inspires students to think and investigate. She cares about every student, remembers their names, and wants to help them thrive in their academic studies.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT329
Professor ID: 2901555
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
ANT335,2303122.0,"The professor is good, but lectures are a bit intense and packed with info. Practical sessions don't allow tech and majority of content is written by hand. Be prepared to memorize and understand evolution down to the specifics.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT335
Professor ID: 2303122
Avg Quality: 3.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Incomplete"
ANT336,2303122.0,"Professor Viola was the highlight of my second semester. His lectures were super clear and his enthusiasm made me excited to come to class. But make sure you do the readings, because he loves to relate them to lecture material.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT336
Professor ID: 2303122
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANT344,2847867.0,"P. Ozcan is a really amazing professor and cares about his students. His style of teaching is pretty consistent throughout. The amount of readings are pretty okay, but make sure to keep up with them as they are used HEAVILY in assignments.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT344
Professor ID: 2847867
Avg Quality: 4.0
Avg Difficulty: 2.5
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
ANT345,2104680.0,"Professor Sikstrom is very passionate about her work in Malawi which is very refreshing and interesting. This course was very educational, although the two-part analysis was pretty difficult to navigate. Despite the rubric, it was difficult to know what they wanted.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT345
Professor ID: 2104680
Avg Quality: 3.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
ANT349,2303098.0,"When I took the course, she was still working on her PhD. Well-organized with structured lectures, personable and friendly with students. Also dealt well with the fact that some of the guys in the class didn't take her seriously due to her being a young & attractive woman.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT349
Professor ID: 2303098
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: B"
ANT358,2104680.0,"Professor Sikstrom r lectures were always interesting and kept you engaged. I found that even after doing all the readings and attending lecture, some will still have difficulties with the tests. My only complaint is that the tests focused more on random specifics then the big picture.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT358
Professor ID: 2104680
Avg Quality: 3.5
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
ANT364,3019981.0,"The class, lectures, readings, and assignments are all confusing and he cannot teach. Midterm and Final were literally a joke since he decided to test us on how well we memorized the very long and detailed readings. Such an incredible prof, he truly cares for his students and his material.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT364
Professor ID: 3019981
Avg Quality: 2.33
Avg Difficulty: 4.33
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANT369,2713519.0,"Dr. Anthony delivers her lectures in a relaxed manner that makes them easier for students to understand. Memes, jokes, and straightforward analyses are common. However, due to the sheer amount of readings, it's a struggle to condense them into the lectures.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT369
Professor ID: 2713519
Avg Quality: 3.5
Avg Difficulty: 3.0
Thumbs Up: 2
Thumbs Down: 0
Grade Mode: A"
ANT371,2174562.0,"Professor ID: 2174562Professor Rating: 4.0 out of 5.0. Well-structured lectures. Good fusion of technical bioANT and analytic socANT. More comfortable with smaller classes, as she admits. Big classes seem to overwhelm her a bit.","Summarize the following student feedback in a formal, third-person tone.
Course: ANT371
Professor ID: 2174562
Avg Quality: 4.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: B-"
ANT435,2104680.0,Professor sikstrom was a really tough grader. She was never specific about what she wanted and was very narrow minded. Pretty much you weren't right unless you had the same opinion as her. She also is horrible at respirating to questions over email.,"Summarize the following student feedback in a formal, third-person tone.
Course: ANT435
Professor ID: 2104680
Avg Quality: 2.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
APM346,2471724.0,This is his first time teaching this course. He normally goes really fast and many people in the lectures are lost and can't copy what he wrote quick enough. He tends to go off on tangents during office hours when you ask him to solve something simple so make sure to yell at him to stay on course.,"Summarize the following student feedback in a formal, third-person tone.
Course: APM346
Professor ID: 2471724
Avg Quality: 1.0
Avg Difficulty: 5.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
APM346,2515196.0,Casey is a good lecturer of the theoretical aspect of the course. The solutions to his homework assignments skip so many steps and it becomes hard to understand how he got the answers from. He needs to do more examples in the lectures. Never read his hand writing.,"Summarize the following student feedback in a formal, third-person tone.
Course: APM346
Professor ID: 2515196
Avg Quality: 3.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Not sure yet"
