course_code,prof_id,summary,metadata
AER1503,2344326.0,"Extremely clear lectures and assignments. Full of knowledge and makes deep connections during lectures. Tireless lecturer and provides his own comprehensive, concise set of notes for the course. Fascinating subject matter (spacecraft dynamics and control)","Course: AER1503
Professor ID: 2344326
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 3
Grade Mode: Unknown"
AER210,2984300.0,"A nice guy, a bit inexperienced but definitely knows his stuff. Problem sets were way too long, and classes often went on tangents. He would improvise a lot which would lead to a lot of mistakes, which would be frustrating even if he did correct them afterwards.","Course: AER210
Professor ID: 2984300
Avg Quality: 2.75
Avg Difficulty: 2.75
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
AER510,3037025.0,"An exceptional prof. I would highly recommend him for any course he teaches. Extremely biased toward students from his home country. He acts unprofessionally and abuses his power over lab students. Fine experience, need to study.","Course: AER510
Professor ID: 3037025
Avg Quality: 3.5
Avg Difficulty: 3.5
Thumbs Up: 3
Thumbs Down: 5
Grade Mode: A+"
AFR270,2929113.0,"She is a good professor in a lot of ways. She assigns lots of group projects and activities and encourages us to work together. She can be a bit passive aggressive and dismissive of people's answers in class, so be prepared for that.","Course: AFR270
Professor ID: 2929113
Avg Quality: 2.2
Avg Difficulty: 3.0
Thumbs Up: 5
Thumbs Down: 0
Grade Mode: Unknown"
AFR322,2929113.0,"Her teaching style is unclear and unengaging, often like “mumbling” She doesn't foster a comfortable atmosphere to participate in class discussions. Overall, I found her unapproachable and the course disappointing. Do not recommend.","Course: AFR322
Professor ID: 2929113
Avg Quality: 2.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: B+"
AFR450,2880107.0,African Studies is a course in African Studies at the University of the West of England. The course is based on the AFR450 course. Be prepared to read a lot of the course material.,"Course: AFR450
Professor ID: 2880107
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 1
Thumbs Down: 0
Grade Mode: A"
AHSS1130,2348070.0,"The best professor ever, very sweet, prepares you well more test and gives a-lot of review :) changed my life. I really enjoy her lectures and her teaching style. You guys will love her.","Course: AHSS1130
Professor ID: 2348070
Avg Quality: 5.0
Avg Difficulty: 1.5
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
AMPM250,3053410.0,"This professor only knows how to drink. Course: AMPM250. Professor ID: 3053410. Course name: ""AMPM250"" Course length: 1.5 hours. Course difficulty: 3.0. Course duration: 2 hours.","Course: AMPM250
Professor ID: 3053410
Avg Quality: 1.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: D+"
AMS200,3051118.0,"Prof Montange's class was one of my favourites. She truly is passionate about what she teaches, + is very interactive with her students. I wasn't sure what to expect from the course but my expectations were exceeded. 10/10 recommend :)","Course: AMS200
Professor ID: 3051118
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Not sure yet"
ANA300,2564118.0,"The prof is a non-factor, no one can make this course ""easy"" or ""bearable"" get ready to use flashcards and study study study. OMG so content heavy. Every little detail is testable and will be tested.","Course: ANA300
Professor ID: 2564118
Avg Quality: 1.83
Avg Difficulty: 4.83
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
ANA301,2354054.0,"Dr. Bentley is a knowledgeable and engaging lecturer whose passion for the subject shines through in her teaching. Tests are hard, topic quizzes are easy, and the assignments were cool. Embryology was the best class I took in my undergrad.","Course: ANA301
Professor ID: 2354054
Avg Quality: 4.33
Avg Difficulty: 4.53
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANA400,2354054.0,"Dr. Bentley was the most amazing professor who always went above and beyond for her students. I don't think she is teaching the course next year, but hopefully I get in to UofT meds next year so I can take anatomy with her again.","Course: ANA400
Professor ID: 2354054
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
ANAT110,2354054.0,"Prof. Bentley started teaching medical gross anatomy this year. Easily the best professor throughout the program. Clear reviews that highlight important take aways, enthusiastic explanations in the labs, and she talks to you like she cares about you. The lectures are not mandatory by any means, but its worth it.","Course: ANAT110
Professor ID: 2354054
Avg Quality: 5.0
Avg Difficulty: 5.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANAT110,2761930.0,Fantastic professor but the course itself is very content-heavy and difficult. Noor herself Is extremely knowledgeable and you can tell how much she knows and loves the human body. She created various platforms to ask questions on which made it easy to clarify concepts.,"Course: ANAT110
Professor ID: 2761930
Avg Quality: 5.0
Avg Difficulty: 4.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
ANT100,2820811.0,"Course included weekly ""challenges"" that were vague and unrelated to the course material. Lecture focus on political issues (sexism, homopobia, etc.) from a modern perspective. Kind/helpful/understanding/generous about stress and marking.","Course: ANT100
Professor ID: 2820811
Avg Quality: 2.0
Avg Difficulty: 2.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANT100,2847867.0,"Lectures tend to run over time (cause he spends time answering questions) but he tries to stay on track. Interesting class, good lectures but speaks kind of slow for my preference.","Course: ANT100
Professor ID: 2847867
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
ANT203,2303122.0,"Don't let the 100-slide lectures scare you, yes they're long but so interesting and informative (don't take the course if you're not into anthro, this is not a bird course!) Dr. Viola is a good speaker who's enthusiasm & passion for the material shines through.","Course: ANT203
Professor ID: 2303122
Avg Quality: 4.29
Avg Difficulty: 3.14
Thumbs Up: 17
Thumbs Down: 8
Grade Mode: A-"
ANT203,2951589.0,"Prof Cameron is an absolutely amazing professor. The information is concise, relevant and she delivers it in a very entertaining way. If only other profs were as delightful as Dr.Cameron, academia would be a much better place.","Course: ANT203
Professor ID: 2951589
Avg Quality: 5.0
Avg Difficulty: 1.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A-"
ANT204,2847867.0,"Kind professor, interesting lectures and readings. Keep up with the readings as it will be helpful for assignments and the exam. The TAs gave good feedback, but sometimes could not answer simple questions. Make sure to participate as it is worth higher than the averag.","Course: ANT204
Professor ID: 2847867
Avg Quality: 3.5
Avg Difficulty: 2.67
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Not sure yet"
ANT207,2244723.0,Respected in her field and well-versed in a breadth of ANT. The way she lectures really annoys me - it sounds pretentious. Other than that she's good. I was lazy and slept through a lot of lectures. Readings were par.,"Course: ANT207
Professor ID: 2244723
Avg Quality: 3.0
Avg Difficulty: 2.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: C+"
ANT207,2847871.0,Professor Chadha is amazing! She explained concepts thoroughly and was very approachable when it came to answering questions! Make sure to do readings as it will make the lectures & tutorials so much clearer. Essay prompts were good and she made sure to explain the grading criteria clearly.,"Course: ANT207
Professor ID: 2847871
Avg Quality: 5.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A"
ANT207,2915177.0,"Professor Maya is one of the greatest Anthro profs you can take at UofT. The way they teach is incredibly interesting and informative. For ANT207, the structure of the lecture was half lecturing and the other half was group discussions. Overall, they were a 10/10.","Course: ANT207
Professor ID: 2915177
Avg Quality: 5.0
Avg Difficulty: 1.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
ANT253,2901555.0,Took ANT253 and it was great! She clearly explained main concepts and throughout the course utilized a textbook. Lectures had a lot of material and the TAs were really helpful. I would definitely take a class with this professor again!,"Course: ANT253
Professor ID: 2901555
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: Unknown"
ANT329,2901555.0,"Professor Yeung is kind and helpful, explains course concepts very clearly and accurately. She cares about every student, remembers their names, and wants to help them thrive in their academic studies. Would definitely recommend taking her courses.","Course: ANT329
Professor ID: 2901555
Avg Quality: 4.0
Avg Difficulty: 3.0
Thumbs Up: 0
Thumbs Down: 0
Grade Mode: A+"
